state,total_doses_distributed,total_doses_administered,doses_distributed_100k,doses_administed_100k,people_1+_dose,doses_1+_100k,people_2_doses,doses_2_100k
Alaska,192350,110396,26294,15091,88654,12119,21593,21593
Alabama,659400,300915,13448,6137,256601,5233,44073,44073
Arkansas,453500,269993,15027,8947,221552,7341,45918,45918
American Samoa,18450,9925,33130,17822,8926,16028,997,997
Arizona,1012275,521097,13907,7159,439897,6044,80773,80773
Bureau of Prisons,30050,29754,N/A,N/A,21674,N/A,8011,8011
California,5640225,2910562,14275,7366,2415659,6114,487552,487552
Colorado,813400,521879,14125,9062,409939,7119,108507,108507
Connecticut,577625,403370,16201,11314,329149,9232,67624,67624
District of Columbia,148325,73328,21017,10390,57152,8098,16112,16112
Dept of Defense,808800,415720,N/A,N/A,353482,N/A,53084,53084
Delaware,143775,87300,14765,8965,72684,7464,14210,14210
Florida,3220350,1796246,14994,8363,1554179,7236,236834,236834
Federated States of Micronesia,19400,3965,18718,3826,3933,3795,5,5
Georgia,1448825,810291,13646,7632,693085,6528,99941,99941
Guam,34300,21254,20692,12822,16747,10103,4358,4358
Hawaii,226800,111165,16018,7851,89428,6316,21736,21736
Iowa,398600,224347,12634,7111,174655,5536,46785,46785
Idaho,221550,108873,12397,6092,88975,4979,18970,18970
Indian Health Svc,423400,191109,N/A,N/A,152563,N/A,36548,36548
Illinois,1658725,884502,13090,6980,685529,5410,181063,181063
Indiana,929900,581322,13813,8635,475928,7069,105208,105208
Kansas,412375,190540,14155,6540,157720,5414,31482,31482
Kentucky,650050,366643,14550,8207,312373,6992,52251,52251
Louisiana,620425,398312,13346,8568,339450,7302,58132,58132
Massachusetts,1057000,520504,15336,7552,422803,6134,96373,96373
Maryland,881675,442565,14584,7320,375525,6211,66582,66582
Maine,211150,123207,15708,9166,93513,6957,28255,28255
Marshall Islands,13600,3928,23282,6725,3661,6267,232,232
Michigan,1361500,866663,13633,8678,695236,6962,159723,159723
Minnesota,834550,440350,14798,7808,340311,6034,98634,98634
Missouri,834700,408441,13600,6655,313161,5102,92389,92389
Northern Mariana Islands,18650,9548,32787,16786,6486,11403,3058,3058
Mississippi,425000,212748,14280,7148,191145,6423,21354,21354
Montana,141650,92589,13253,8663,71534,6693,21007,21007
North Carolina,1400375,851223,13352,8116,729507,6956,120946,120946
North Dakota,106875,86175,14024,11308,63773,8368,20700,20700
Nebraska,288375,158370,14908,8187,120121,6210,37350,37350
New Hampshire,203550,117408,14970,8635,92305,6789,25055,25055
New Jersey,1231525,727426,13865,8190,616618,6942,108740,108740
New Mexico,317800,238755,15156,11386,189082,9018,46878,46878
Nevada,339900,210185,11035,6824,179805,5838,29163,29163
New York State,2823575,1703218,14514,8755,1359970,6991,271874,271874
Ohio,1553900,843099,13294,7213,716677,6131,125794,125794
Oklahoma,594925,386688,15035,9772,323625,8179,60680,60680
Oregon,614525,359391,14570,8521,299508,7101,58664,58664
Pennsylvania,1973775,972742,15418,7598,777260,6071,193432,193432
Puerto Rico,530850,224303,16622,7023,174840,5475,48196,48196
Rhode Island,157525,83607,14870,7892,63263,5972,20321,20321
Republic of Palau,6000,3089,33506,17250,3088,17245,1,1
South Carolina,558050,385158,10839,7481,322195,6258,60974,60974
South Dakota,123800,97231,13994,10991,70502,7969,26665,26665
Tennessee,953600,545921,13964,7994,400950,5871,143592,143592
Texas,3659550,2219867,12621,7656,1804291,6223,413844,413844
Utah,401375,271127,12520,8457,219468,6846,40909,40909
Virginia,1186375,724768,13899,8491,598853,7016,99790,99790
Veterans Health,1367700,841497,N/A,N/A,688872,N/A,151793,151793
Virgin Islands,17075,5256,16312,5021,4367,4172,889,889
Vermont,99750,61737,15986,9894,47485,7610,14168,14168
Washington,1005500,607071,13204,7972,496008,6514,99955,99955
Wisconsin,793750,406869,13633,6988,339296,5827,65354,65354
West Virginia,278400,239963,15534,13390,181839,10146,58113,58113
Wyoming,85750,49166,14816,8495,41441,7160,7674,7674
