state,total_doses_distributed,total_doses_administered,doses_distributed_100k,doses_administed_100k,people_1+_dose,doses_1+_100k,people_2_doses,doses_2_100k
Alaska,155700,97031,21284,13264,80226,10967,16673,16673
Alabama,521225,250612,10630,5111,220464,4496,29978,29978
Arkansas,368650,221095,12216,7326,185546,6148,33159,33159
American Samoa,18450,8046,33130,14448,7096,12742,948,948
Arizona,829500,413662,11396,5683,350648,4817,62711,62711
Bureau of Prisons,24750,24360,N/A,N/A,18988,N/A,5301,5301
California,4906525,2330633,12418,5899,1954048,4945,371482,371482
Colorado,692700,447880,12029,7777,364889,6336,80467,80467
Connecticut,492850,331264,13824,9291,282674,7929,42421,42421
District of Columbia,91025,64194,12898,9096,50902,7212,13236,13236
Dept of Defense,677025,346180,N/A,N/A,304294,N/A,35570,35570
Delaware,116325,66914,11946,6872,55131,5662,11647,11647
Florida,2908275,1544794,13541,7193,1384407,6446,156298,156298
Federated States of Micronesia,19400,2758,18718,2661,2755,2658,3,3
Georgia,1235775,604067,11639,5689,534161,5031,59965,59965
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,191575,92092,13531,6504,74296,5247,17795,17795
Iowa,361475,196203,11457,6219,161445,5117,32149,32149
Idaho,181100,91271,10134,5107,76199,4264,14419,14419
Indian Health Svc,357850,155529,N/A,N/A,130085,N/A,24145,24145
Illinois,1417250,723203,11184,5707,578406,4565,137465,137465
Indiana,841725,491856,12503,7306,408181,6063,83554,83554
Kansas,348175,154719,11951,5311,129861,4458,23635,23635
Kentucky,471000,307462,10542,6882,275610,6169,30010,30010
Louisiana,543700,341447,11696,7345,297684,6403,43151,43151
Massachusetts,859175,433615,12465,6291,368358,5344,64648,64648
Maryland,742175,350835,12276,5803,311148,5147,39259,39259
Maine,178450,104069,13275,7742,82837,6162,19873,19873
Marshall Islands,13600,3098,23282,5304,3065,5247,3,3
Michigan,1095675,727437,10971,7284,599665,6005,116840,116840
Minnesota,680700,346864,12070,6150,273973,4858,72266,72266
Missouri,661400,335695,10777,5470,258298,4209,75823,75823
Northern Mariana Islands,18650,8495,32787,14934,5474,9623,3017,3017
Mississippi,358100,180960,12032,6080,164715,5535,16034,16034
Montana,119500,77356,11181,7238,63224,5916,14111,14111
North Carolina,1246600,676037,11886,6446,589436,5620,86064,86064
North Dakota,86750,75242,11384,9873,57996,7610,15680,15680
Nebraska,238100,134033,12309,6929,110672,5721,22547,22547
New Hampshire,162950,94623,11984,6959,80674,5933,13907,13907
New Jersey,989900,563141,11145,6340,492061,5540,69374,69374
New Mexico,257075,204670,12260,9761,166530,7942,35507,35507
Nevada,286950,159869,9316,5190,136670,4437,22279,22279
New York State,2395950,1418313,12316,7291,1215450,6248,183915,183915
Ohio,1233075,685622,10549,5865,608379,5205,76949,76949
Oklahoma,496350,326546,12544,8252,282679,7144,41634,41634
Oregon,492450,300676,11676,7129,257296,6100,42426,42426
Pennsylvania,1564125,776799,12218,6068,639526,4996,135939,135939
Puerto Rico,371550,187617,11634,5875,146984,4602,39384,39384
Rhode Island,149225,70419,14086,6647,56751,5357,13649,13649
Republic of Palau,6000,3046,33506,17010,3044,16999,2,2
South Carolina,453250,307348,8803,5969,258015,5011,47563,47563
South Dakota,106575,82512,12047,9327,63950,7229,18504,18504
Tennessee,838825,462646,12283,6775,361767,5297,99842,99842
Texas,3070825,1804006,10591,6222,1532381,5285,270118,270118
Utah,341725,229007,10659,7143,195221,6089,25693,25693
Virginia,1069725,482973,12533,5658,415684,4870,59852,59852
Veterans Health,1151525,702779,N/A,N/A,600685,N/A,101396,101396
Virgin Islands,14500,3399,13852,3247,2984,2851,415,415
Vermont,90000,53624,14423,8594,43356,6948,10195,10195
Washington,846625,488785,11118,6419,404326,5310,73738,73738
Wisconsin,610100,315876,10478,5425,266481,4577,47409,47409
West Virginia,243100,203992,13565,11383,164528,9180,39453,39453
Wyoming,70750,41156,12224,7111,36215,6257,4900,4900
