state,total_doses_distributed,total_doses_administered,doses_distributed_100k,doses_administed_100k,people_1+_dose,doses_1+_100k,people_2_doses,doses_2_100k
Alaska,170575,101597,23317,13888,83363,11395,18097,18097
Alabama,634000,266444,12930,5434,232633,4745,33595,33595
Arkansas,406175,252824,13459,8378,209445,6940,40910,40910
American Samoa,18450,9085,33130,16314,8133,14604,950,950
Arizona,990000,458258,13601,6296,389059,5345,68846,68846
Bureau of Prisons,30050,27326,N/A,N/A,20415,N/A,6846,6846
California,5452575,2579666,13800,6529,2156029,5457,417606,417606
Colorado,775050,474527,13459,8240,381679,6628,90200,90200
Connecticut,543975,360991,15258,10125,302710,8490,51939,51939
District of Columbia,107575,68086,15243,9647,53590,7593,14434,14434
Dept of Defense,769450,366010,N/A,N/A,318701,N/A,40396,40396
Delaware,140850,77449,14464,7954,64952,6670,12352,12352
Florida,3095850,1632491,14414,7601,1451507,6758,176671,176671
Federated States of Micronesia,19400,3241,18718,3127,3210,3097,4,4
Georgia,1412450,712866,13303,6714,622905,5867,75360,75360
Guam,34300,18263,20692,11017,14269,8608,3869,3869
Hawaii,217425,97692,15356,6900,79147,5590,18544,18544
Iowa,362875,204196,11501,6472,165466,5244,36067,36067
Idaho,203225,96991,11372,5427,80857,4525,15443,15443
Indian Health Svc,386400,165764,N/A,N/A,135456,N/A,28995,28995
Illinois,1591000,766659,12555,6050,611024,4822,147925,147925
Indiana,920975,524180,13680,7786,432791,6429,91255,91255
Kansas,392875,168392,13486,5780,140685,4829,26457,26457
Kentucky,585500,323268,13105,7236,285291,6386,36054,36054
Louisiana,620325,358746,13344,7717,311135,6693,46954,46954
Massachusetts,956800,464275,13882,6736,390470,5665,73152,73152
Maryland,820425,389253,13570,6439,340191,5627,48629,48629
Maine,204325,109183,15200,8122,86103,6405,21707,21707
Marshall Islands,13600,3538,23282,6057,3487,5970,20,20
Michigan,1352100,772031,13539,7730,629437,6303,131282,131282
Minnesota,787875,375395,13970,6656,298902,5300,75844,75844
Missouri,750175,358150,12223,5836,276990,4513,79526,79526
Northern Mariana Islands,18650,9026,32787,15868,5966,10488,3056,3056
Mississippi,396550,190239,13324,6392,172522,5797,17499,17499
Montana,133025,81169,12446,7595,65746,6152,15397,15397
North Carolina,1397275,716748,13323,6834,627980,5988,88145,88145
North Dakota,96425,77230,12653,10134,58673,7699,16952,16952
Nebraska,284275,139573,14696,7215,114154,5901,24598,24598
New Hampshire,190875,103080,14038,7581,84813,6238,18224,18224
New Jersey,1207100,611862,13590,6889,530412,5972,79648,79648
New Mexico,303625,217075,14480,10353,176038,8395,38292,38292
Nevada,338525,174367,10991,5661,149464,4852,23852,23852
New York State,2744450,1518697,14108,7807,1286705,6614,212802,212802
Ohio,1507000,746249,12892,6384,657075,5621,88834,88834
Oklahoma,569575,345144,14394,8722,296308,7488,46596,46596
Oregon,599900,325488,14223,7717,276200,6549,48261,48261
Pennsylvania,1817925,851980,14200,6655,693731,5419,156798,156798
Puerto Rico,506425,199762,15857,6255,156071,4887,42437,42437
Rhode Island,151675,76284,14318,7201,59853,5650,16410,16410
Republic of Palau,6000,3046,33506,17010,3046,17010,0,0
South Carolina,548250,326985,10648,6351,275291,5347,49869,49869
South Dakota,122825,86986,13884,9833,65031,7351,21895,21895
Tennessee,886225,487632,12977,7140,374108,5478,112362,112362
Texas,3505450,1974374,12089,6809,1648575,5686,324212,324212
Utah,394250,239807,12297,7480,201134,6274,30065,30065
Virginia,1179550,629019,13819,7369,524196,6141,79443,79443
Veterans Health,1312125,746109,N/A,N/A,626115,N/A,119254,119254
Virgin Islands,16875,4174,16121,3987,3538,3380,636,636
Vermont,96825,55377,15517,8875,44498,7131,10806,10806
Washington,981050,534445,12883,7018,441895,5803,81786,81786
Wisconsin,790400,335519,13575,5763,281166,4829,52332,52332
West Virginia,278400,214926,15534,11993,169671,9467,45244,45244
Wyoming,82825,43425,14311,7503,37963,6559,5419,5419
