state,total_doses_distributed,total_doses_administered,doses_distributed_100k,doses_administed_100k,people_1+_dose,doses_1+_100k,people_2_doses,doses_2_100k
Alaska,150450,49039,20566,6703,39546,5406,9406,9406
Alabama,444650,100567,9069,2051,86956,1773,13488,13488
Arkansas,297800,118338,9868,3921,97829,3242,18781,18781
American Samoa,18450,3883,33130,6973,3144,5646,738,738
Arizona,571725,197086,7855,2708,176213,2421,20837,20837
Bureau of Prisons,16750,16685,N/A,N/A,14565,N/A,2086,2086
California,3548575,1072959,8981,2716,865387,2190,204374,204374
Colorado,531775,272233,9234,4727,223761,3886,47021,47021
Connecticut,328775,185866,9222,5213,166722,4676,17162,17162
District of Columbia,68325,39934,9681,5658,31667,4487,8250,8250
Dept of Defense,507975,201485,N/A,N/A,179004,N/A,17946,17946
Delaware,91250,31090,9371,3193,25649,2634,5354,5354
Florida,2069175,853081,9634,3972,776430,3615,74776,74776
Federated States of Micronesia,9800,694,9456,670,692,668,2,2
Georgia,1011200,231305,9524,2179,204301,1924,22324,22324
Guam,34300,3791,20692,2287,3785,2283,0,0
Hawaii,154150,46958,10887,3317,39690,2803,7268,7268
Iowa,269000,120983,8526,3835,108056,3425,10742,10742
Idaho,160075,46636,8957,2610,37646,2107,8843,8843
Indian Health Svc,292700,90245,N/A,N/A,77309,N/A,12730,12730
Illinois,1011225,437765,7980,3455,341518,2695,91248,91248
Indiana,642425,260310,9543,3867,222599,3306,37683,37683
Kansas,263175,97779,9034,3356,83293,2859,13496,13496
Kentucky,337450,174748,7553,3911,162733,3642,10672,10672
Louisiana,370175,197967,7963,4258,167193,3596,30416,30416
Massachusetts,669325,257175,9711,3731,222109,3222,34885,34885
Maryland,565125,194705,9348,3221,178831,2958,15830,15830
Maine,136875,61129,10183,4548,51631,3841,8274,8274
Marshall Islands,13600,658,23282,1126,632,1082,2,2
Michigan,773750,364182,7748,3647,312415,3128,48536,48536
Minnesota,519600,198253,9213,3515,170273,3019,27799,27799
Missouri,528800,190447,8616,3103,153664,2504,36525,36525
Northern Mariana Islands,18650,4909,32787,8630,3760,6610,1146,1146
Mississippi,233550,84328,7847,2833,75885,2550,8396,8396
Montana,98500,49364,9216,4619,41160,3851,8193,8193
North Carolina,999650,302824,9531,2887,259859,2478,42790,42790
North Dakota,68675,46410,9012,6090,38506,5053,7555,7555
Nebraska,211500,91195,10934,4714,77734,4018,13050,13050
New Hampshire,127225,62517,9357,4598,56797,4177,5700,5700
New Jersey,658800,317070,7417,3570,278956,3141,36741,36741
New Mexico,204750,99305,9765,4736,80172,3823,18711,18711
Nevada,211750,83674,6875,2717,67679,2197,15308,15308
New York State,1884325,757466,9686,3894,671311,3451,73523,73523
Ohio,968250,375428,8283,3212,361818,3095,13552,13552
Oklahoma,424000,203410,10715,5141,173162,4376,28917,28917
Oregon,335075,146153,7944,3465,133091,3156,12795,12795
Pennsylvania,1075350,448151,8400,3501,380727,2974,66941,66941
Puerto Rico,311325,104137,9748,3261,87512,2740,16360,16360
Rhode Island,108425,47548,10235,4488,39381,3717,8156,8156
Republic of Palau,6000,1119,33506,6249,1118,6243,1,1
South Carolina,350550,121836,6808,2366,101722,1976,19477,19477
South Dakota,93675,57103,10589,6455,47389,5357,9666,9666
Tennessee,657550,303338,9629,4442,264912,3879,37800,37800
Texas,2105600,1160242,7262,4001,1003412,3461,155660,155660
Utah,268175,128210,8365,3999,114504,3572,10534,10534
Virginia,852725,244234,9990,2861,214732,2516,28164,28164
Veterans Health,994425,317771,N/A,N/A,280461,N/A,36983,36983
Virgin Islands,11825,1631,11296,1558,1474,1408,157,157
Vermont,74000,32470,11859,5204,28355,4544,4100,4100
Washington,696175,242606,9142,3186,200682,2635,31581,31581
Wisconsin,437900,169803,7521,2916,151387,2600,17108,17108
West Virginia,205475,134207,11465,7489,113034,6307,21162,21162
Wyoming,58775,22745,10155,3930,19931,3444,2803,2803
